station,geom_cells_10km,hist_n10_min,hist_n10_max
PO018003NR0009,340,318,334
PO0180130U0005,217,102,170
PO0180130U0006,217,102,170
PO018014NRP001,251,123,207
PO018032NR0001,37,9,33
PO0180350U0002,231,182,204
PO018039NR0001,342,314,334
PO018039NRP001,342,320,337
PO018043NUP001,325,172,278
PO0180470U0001,109,70,103
PO018047NR0001,56,34,55
PO0180480U0004,102,38,69
PO018048NRP001,255,107,198
PO0180490U0003,1,0,1
PO0180500U0002,323,303,318
PO018062NRD002,265,217,256
PO018065NRG001,173,129,159
PO018068NRP001,241,162,207
PO0180690U0002,290,224,265
PO018072NUP001,287,163,250
PO0180810U0111,191,90,145
PO0180880U0001,308,256,297
PO0180930U0006,169,59,114
PO0181100U0111,270,154,231
PO0181140U0002,127,47,81
PO0181150U0006,28,5,22
PO0181180U0019,82,38,54
PO0181220U0001,0,0,0
PO018146NRP001,297,241,277
PO018147NUP001,288,231,277
PO0181550U0001,0,0,0
PO018162NUP001,171,96,140
PO018173NUP001,280,163,254
PO018176NUP001,324,137,273
PO0181770U0020,243,172,203
PO018180NUP001,247,102,192
PO0181870U0001,56,20,37
