station,year,gw_outcome_available,gw_antecedent_available,gw_complete,n_cells_10km,ff_geometry_positive,ff10_available,P_A8_available,T_A8_available,weather_complete,eligible,removed_by_groundwater,removed_by_ff_after_gw,removed_by_weather_after_gw_ff,exclusion_reason
PO018003NR0009,2022,True,True,True,340,True,True,True,True,True,True,False,False,False,eligible
PO018003NR0009,2023,True,True,True,340,True,True,True,True,True,True,False,False,False,eligible
PO018003NR0009,2024,False,False,False,340,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018003NR0009,2025,False,True,False,340,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0005,2022,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0005,2023,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0005,2024,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0005,2025,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0006,2022,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0006,2023,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0006,2024,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180130U0006,2025,False,False,False,217,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018014NRP001,2022,True,False,False,251,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018014NRP001,2023,True,False,False,251,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018014NRP001,2024,False,False,False,251,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018014NRP001,2025,False,False,False,251,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018032NR0001,2022,False,False,False,37,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018032NR0001,2023,False,False,False,37,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018032NR0001,2024,False,False,False,37,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018032NR0001,2025,False,False,False,37,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180350U0002,2022,False,False,False,231,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180350U0002,2023,False,True,False,231,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180350U0002,2024,False,False,False,231,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180350U0002,2025,False,False,False,231,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018039NR0001,2022,True,True,True,342,True,True,True,True,True,True,False,False,False,eligible
PO018039NR0001,2023,True,False,False,342,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018039NR0001,2024,True,True,True,342,True,True,True,True,True,True,False,False,False,eligible
PO018039NR0001,2025,True,True,True,342,True,True,True,True,True,True,False,False,False,eligible
