station,eligible_2022,eligible_2023,eligible_2024,eligible_2025,eligible_years_n,eligible_all_4,eligible_at_least_3,eligible_at_least_2,eligible_exactly_3,eligible_exactly_2,eligible_exactly_1,eligible_0,eligible_year_pattern
PO018003NR0009,True,True,False,False,2,False,False,True,False,True,False,False,2022_2023
PO0180130U0005,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0180130U0006,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018014NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018032NR0001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0180350U0002,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018039NR0001,True,False,True,True,3,False,True,True,True,False,False,False,2022_2024_2025
PO018039NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018043NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0180470U0001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018047NR0001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0180480U0004,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO018048NRP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0180490U0003,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0180500U0002,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018062NRD002,False,False,True,True,2,False,False,True,False,True,False,False,2024_2025
PO018065NRG001,True,False,False,True,2,False,False,True,False,True,False,False,2022_2025
PO018068NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0180690U0002,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018072NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0180810U0111,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0180880U0001,True,False,False,True,2,False,False,True,False,True,False,False,2022_2025
PO0180930U0006,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0181100U0111,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0181140U0002,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0181150U0006,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0181180U0019,False,False,False,False,0,False,False,False,False,False,False,True,none
PO0181220U0001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018146NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018147NUP001,True,False,True,True,3,False,True,True,True,False,False,False,2022_2024_2025
PO0181550U0001,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018162NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO018173NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO018176NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0181770U0020,False,False,False,False,0,False,False,False,False,False,False,True,none
PO018180NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025
PO0181870U0001,False,False,False,False,0,False,False,False,False,False,False,True,none
