comparison,column,rows_compared,mismatch_n,exact_reproduction
frozen_2022_2023_well_weather,utm_e,74,0,True
frozen_2022_2023_well_weather,utm_n,74,0,True
frozen_2022_2023_well_weather,P1,74,0,True
frozen_2022_2023_well_weather,P1_n,74,0,True
frozen_2022_2023_well_weather,P1_dmax_km,74,0,True
frozen_2022_2023_well_weather,P2,74,0,True
frozen_2022_2023_well_weather,P2_n,74,0,True
frozen_2022_2023_well_weather,P2_dmax_km,74,0,True
frozen_2022_2023_well_weather,P3,74,0,True
frozen_2022_2023_well_weather,P3_n,74,0,True
frozen_2022_2023_well_weather,P3_dmax_km,74,0,True
frozen_2022_2023_well_weather,P4,74,0,True
frozen_2022_2023_well_weather,P4_n,74,0,True
frozen_2022_2023_well_weather,P4_dmax_km,74,0,True
frozen_2022_2023_well_weather,P5,74,0,True
frozen_2022_2023_well_weather,P5_n,74,0,True
frozen_2022_2023_well_weather,P5_dmax_km,74,0,True
frozen_2022_2023_well_weather,P6,74,0,True
frozen_2022_2023_well_weather,P6_n,74,0,True
frozen_2022_2023_well_weather,P6_dmax_km,74,0,True
frozen_2022_2023_well_weather,P7,74,0,True
frozen_2022_2023_well_weather,P7_n,74,0,True
frozen_2022_2023_well_weather,P7_dmax_km,74,0,True
frozen_2022_2023_well_weather,P8,74,0,True
frozen_2022_2023_well_weather,P8_n,74,0,True
frozen_2022_2023_well_weather,P8_dmax_km,74,0,True
frozen_2022_2023_well_weather,T1,74,0,True
frozen_2022_2023_well_weather,T1_n,74,0,True
frozen_2022_2023_well_weather,T1_dmax_km,74,0,True
frozen_2022_2023_well_weather,T2,74,0,True
frozen_2022_2023_well_weather,T2_n,74,0,True
frozen_2022_2023_well_weather,T2_dmax_km,74,0,True
frozen_2022_2023_well_weather,T3,74,0,True
frozen_2022_2023_well_weather,T3_n,74,0,True
frozen_2022_2023_well_weather,T3_dmax_km,74,0,True
frozen_2022_2023_well_weather,T4,74,0,True
frozen_2022_2023_well_weather,T4_n,74,0,True
frozen_2022_2023_well_weather,T4_dmax_km,74,0,True
frozen_2022_2023_well_weather,T5,74,0,True
frozen_2022_2023_well_weather,T5_n,74,0,True
frozen_2022_2023_well_weather,T5_dmax_km,74,0,True
frozen_2022_2023_well_weather,T6,74,0,True
frozen_2022_2023_well_weather,T6_n,74,0,True
frozen_2022_2023_well_weather,T6_dmax_km,74,0,True
frozen_2022_2023_well_weather,T7,74,0,True
frozen_2022_2023_well_weather,T7_n,74,0,True
frozen_2022_2023_well_weather,T7_dmax_km,74,0,True
frozen_2022_2023_well_weather,T8,74,0,True
frozen_2022_2023_well_weather,T8_n,74,0,True
frozen_2022_2023_well_weather,T8_dmax_km,74,0,True
frozen_2022_2023_well_weather,P_A8,74,0,True
frozen_2022_2023_well_weather,T_A8,74,0,True
frozen_2022_2023_well_weather,has_weather_A8,74,0,True
