omitted_station,remaining_wells,remaining_rows,beta_minus_g,change_from_full_beta,coefficient_sign
PO018043NUP001,11,44,-6.3416977594382775,0.12274981289912823,negative
PO018047NR0001,11,44,26.435574593303002,32.90002216564041,positive
PO0180480U0004,11,44,-6.343423957801445,0.12102361453596089,negative
PO018048NRP001,11,44,-6.291143956461154,0.17330361587625198,negative
PO018072NUP001,11,44,-6.144264820535671,0.3201827518017346,negative
PO0180810U0111,11,44,-6.407348356647665,0.057099215689740745,negative
PO0181100U0111,11,44,-7.259503083796442,-0.7950555114590365,negative
PO0181140U0002,11,44,-8.63450386466245,-2.170056292325045,negative
PO018162NUP001,11,44,-6.904247239726695,-0.43979966738928944,negative
PO018173NUP001,11,44,-8.056322406398388,-1.5918748340609827,negative
PO018176NUP001,11,44,-6.293360843382493,0.17108672895491317,negative
PO018180NUP001,11,44,-6.670996965599874,-0.20654939326246868,negative
