metric,value
raw_ff10_variance,0.001867411135441305
after_well_fe_variance,0.001863182083817983
after_year_fe_variance,0.00011720088765783188
after_well_year_fe_variance,0.00011297183603450992
after_well_year_fe_antecedent_variance,0.00011288787880278028
after_well_fe_to_raw_variance_ratio,0.9977353398279257
after_year_fe_to_raw_variance_ratio,0.0627611592506302
two_way_to_raw_variance_ratio,0.06049649907855589
full_to_raw_variance_ratio,0.06045153992085558
full_to_two_way_variance_ratio,0.9992568304218408
full_partial_residual_sd,0.010624870766403716
full_partial_residual_min,-0.02987658587233394
full_partial_residual_max,0.047510726230306055
