station,partial_ss_manual,partial_leverage_manual,partial_leverage_rank,ff10_partial_leverage_share,stage6_minus_stage6r_share
PO018047NR0001,0.004180966246066877,0.7880095682826306,1,0.7880095682826245,-6.106226635438361e-15
PO0180480U0004,0.00040986784592305384,0.07725003391801866,2,0.0772500339180207,2.040034807748725e-15
PO0181140U0002,0.0003079325062357167,0.05803772310462087,3,0.0580377231046226,1.734723475976807e-15
PO018173NUP001,0.00010097442961575641,0.019031202838326936,4,0.0190312028383267,-2.3592239273284576e-16
PO018180NUP001,7.511517652045421e-05,0.01415736801918441,5,0.0141573680191851,6.904199434387692e-16
PO0180810U0111,5.7007445892014404e-05,0.010744505021661237,6,0.0107445050216617,4.631711680858075e-16
PO0181100U0111,3.749092970280572e-05,0.007066120506812105,7,0.0070661205068122,9.540979117872439e-17
PO018048NRP001,3.504412542038468e-05,0.006604957925536423,8,0.0066049579255371,6.765421556309548e-16
PO018072NUP001,3.482995151444864e-05,0.006564591398465599,9,0.0065645913984655,-9.8879238130678e-17
PO018162NUP001,2.4027945360018548e-05,0.004528678237399955,10,0.0045286782374003,3.452099717193846e-16
PO018176NUP001,2.1535472648363464e-05,0.004058908277569444,11,0.0040589082775695,5.637851296924623e-17
PO018043NUP001,2.0938228830778716e-05,0.003946342469773898,12,0.0039463424697739,1.734723475976807e-18
