omitted_station,beta_minus_g,change_from_full_beta,absolute_change_from_full_beta,coefficient_sign,sample,model,full_beta
PO018043NUP001,-6.3416977594382775,0.12274981289912823,0.12274981289912823,negative,primary,base_identity,-6.464447572337406
PO018047NR0001,26.435574593303002,32.90002216564041,32.90002216564041,positive,primary,base_identity,-6.464447572337406
PO0180480U0004,-6.343423957801445,0.12102361453596089,0.12102361453596089,negative,primary,base_identity,-6.464447572337406
PO018048NRP001,-6.291143956461154,0.17330361587625198,0.17330361587625198,negative,primary,base_identity,-6.464447572337406
PO018072NUP001,-6.144264820535671,0.3201827518017346,0.3201827518017346,negative,primary,base_identity,-6.464447572337406
PO0180810U0111,-6.407348356647665,0.057099215689740745,0.057099215689740745,negative,primary,base_identity,-6.464447572337406
PO0181100U0111,-7.259503083796442,-0.7950555114590365,0.7950555114590365,negative,primary,base_identity,-6.464447572337406
PO0181140U0002,-8.63450386466245,-2.170056292325045,2.170056292325045,negative,primary,base_identity,-6.464447572337406
PO018162NUP001,-6.904247239726695,-0.43979966738928944,0.43979966738928944,negative,primary,base_identity,-6.464447572337406
PO018173NUP001,-8.056322406398388,-1.5918748340609827,1.5918748340609827,negative,primary,base_identity,-6.464447572337406
PO018176NUP001,-6.293360843382493,0.17108672895491317,0.17108672895491317,negative,primary,base_identity,-6.464447572337406
PO018180NUP001,-6.670996965599874,-0.20654939326246868,0.20654939326246868,negative,primary,base_identity,-6.464447572337406
PO018043NUP001,-4.729829866946465,0.2535243965816605,0.2535243965816605,negative,primary,W1_precip,-4.983354263528126
PO018047NR0001,22.899131272967928,27.882485536496056,27.882485536496056,positive,primary,W1_precip,-4.983354263528126
PO0180480U0004,-4.731450298764617,0.2519039647635086,0.2519039647635086,negative,primary,W1_precip,-4.983354263528126
PO018048NRP001,-4.90261981458659,0.08073444894153603,0.08073444894153603,negative,primary,W1_precip,-4.983354263528126
PO018072NUP001,-4.726577798642001,0.2567764648861246,0.2567764648861246,negative,primary,W1_precip,-4.983354263528126
PO0180810U0111,-4.371470602666696,0.6118836608614302,0.6118836608614302,negative,primary,W1_precip,-4.983354263528126
PO0181100U0111,-5.904577716426095,-0.9212234528979693,0.9212234528979693,negative,primary,W1_precip,-4.983354263528126
PO0181140U0002,-6.875548077781076,-1.8921938142529502,1.8921938142529502,negative,primary,W1_precip,-4.983354263528126
PO018162NUP001,-5.013736202647046,-0.030381939118919732,0.030381939118919732,negative,primary,W1_precip,-4.983354263528126
PO018173NUP001,-6.642196155745767,-1.658841892217641,1.658841892217641,negative,primary,W1_precip,-4.983354263528126
PO018176NUP001,-4.720639787348604,0.2627144761795215,0.2627144761795215,negative,primary,W1_precip,-4.983354263528126
PO018180NUP001,-5.234702187358623,-0.2513479238304974,0.2513479238304974,negative,primary,W1_precip,-4.983354263528126
PO018043NUP001,-5.450767806307056,-0.2510709309307604,0.2510709309307604,negative,primary,W2_temp,-5.199696875376295
PO018047NR0001,27.350538321833106,32.5502351972094,32.5502351972094,positive,primary,W2_temp,-5.199696875376295
PO0180480U0004,-5.127988011449421,0.07170886392687414,0.07170886392687414,negative,primary,W2_temp,-5.199696875376295
PO018048NRP001,-5.040648446553556,0.1590484288227394,0.1590484288227394,negative,primary,W2_temp,-5.199696875376295
PO018072NUP001,-4.537283927081587,0.6624129482947083,0.6624129482947083,negative,primary,W2_temp,-5.199696875376295
PO0180810U0111,-5.098609720180095,0.10108715519620048,0.10108715519620048,negative,primary,W2_temp,-5.199696875376295
PO0181100U0111,-6.1703852729619815,-0.9706883975856861,0.9706883975856861,negative,primary,W2_temp,-5.199696875376295
PO0181140U0002,-7.406341855037654,-2.206644979661359,2.206644979661359,negative,primary,W2_temp,-5.199696875376295
PO018162NUP001,-5.451973904538786,-0.2522770291624905,0.2522770291624905,negative,primary,W2_temp,-5.199696875376295
PO018173NUP001,-6.30613608149142,-1.106439206115125,1.106439206115125,negative,primary,W2_temp,-5.199696875376295
PO018176NUP001,-5.321273107959051,-0.12157623258275585,0.12157623258275585,negative,primary,W2_temp,-5.199696875376295
PO018180NUP001,-5.420781558941149,-0.2210846835648539,0.2210846835648539,negative,primary,W2_temp,-5.199696875376295
PO018043NUP001,-4.156422170211572,-0.05473179683425755,0.05473179683425755,negative,primary,W3_precip_temp,-4.1016903733773145
PO018047NR0001,24.321430883069958,28.423121256447274,28.423121256447274,positive,primary,W3_precip_temp,-4.1016903733773145
PO0180480U0004,-3.8911828492666736,0.2105075241106409,0.2105075241106409,negative,primary,W3_precip_temp,-4.1016903733773145
PO018048NRP001,-4.023209526638839,0.07848084673847566,0.07848084673847566,negative,primary,W3_precip_temp,-4.1016903733773145
PO018072NUP001,-3.577972558627387,0.5237178147499275,0.5237178147499275,negative,primary,W3_precip_temp,-4.1016903733773145
PO0180810U0111,-3.5057035837712736,0.5959867896060409,0.5959867896060409,negative,primary,W3_precip_temp,-4.1016903733773145
PO0181100U0111,-5.181086161416694,-1.0793957880393794,1.0793957880393794,negative,primary,W3_precip_temp,-4.1016903733773145
PO0181140U0002,-5.9090292000756595,-1.807338826698345,1.807338826698345,negative,primary,W3_precip_temp,-4.1016903733773145
PO018162NUP001,-4.018785692582101,0.08290468079521318,0.08290468079521318,negative,primary,W3_precip_temp,-4.1016903733773145
PO018173NUP001,-5.4857159410255285,-1.384025567648214,1.384025567648214,negative,primary,W3_precip_temp,-4.1016903733773145
PO018176NUP001,-4.090143439794231,0.011546933583083785,0.011546933583083785,negative,primary,W3_precip_temp,-4.1016903733773145
PO018180NUP001,-4.35243885032974,-0.25074847695242575,0.25074847695242575,negative,primary,W3_precip_temp,-4.1016903733773145
PO018003NR0009,-1.3003368133183315,0.24164154627739798,0.24164154627739798,negative,secondary18,base,-1.5419783595957295
PO018039NR0001,-6.020831604249187,-4.4788532446534575,4.4788532446534575,negative,secondary18,base,-1.5419783595957295
PO018043NUP001,-1.0262917798787718,0.5156865797169576,0.5156865797169576,negative,secondary18,base,-1.5419783595957295
PO018047NR0001,9.009861634435318,10.551839994031047,10.551839994031047,positive,secondary18,base,-1.5419783595957295
PO0180480U0004,-1.6817715153701052,-0.13979315577437568,0.13979315577437568,negative,secondary18,base,-1.5419783595957295
PO018048NRP001,-1.5399194748172285,0.0020588847785010245,0.0020588847785010245,negative,secondary18,base,-1.5419783595957295
PO018062NRD002,-1.4958757375927592,0.04610262200297033,0.04610262200297033,negative,secondary18,base,-1.5419783595957295
PO018065NRG001,-1.8925904637688724,-0.3506121041731429,0.3506121041731429,negative,secondary18,base,-1.5419783595957295
PO018072NUP001,-1.0991168834219405,0.442861476173789,0.442861476173789,negative,secondary18,base,-1.5419783595957295
PO0180810U0111,-1.5626961694823676,-0.020717809886638072,0.020717809886638072,negative,secondary18,base,-1.5419783595957295
PO0180880U0001,-1.3590076991862539,0.18297066040947563,0.18297066040947563,negative,secondary18,base,-1.5419783595957295
PO0181100U0111,-2.7910600065102154,-1.2490816469144859,1.2490816469144859,negative,secondary18,base,-1.5419783595957295
PO0181140U0002,-3.3076483373598506,-1.7656699777641212,1.7656699777641212,negative,secondary18,base,-1.5419783595957295
PO018147NUP001,-1.174884000954747,0.3670943586409825,0.3670943586409825,negative,secondary18,base,-1.5419783595957295
PO018162NUP001,-1.6263378098409333,-0.08435945024520386,0.08435945024520386,negative,secondary18,base,-1.5419783595957295
PO018173NUP001,-1.7303774411991606,-0.1883990816034311,0.1883990816034311,negative,secondary18,base,-1.5419783595957295
PO018176NUP001,-0.8750437361754457,0.6669346234202838,0.6669346234202838,negative,secondary18,base,-1.5419783595957295
PO018180NUP001,-1.92346825613334,-0.38148989653761056,0.38148989653761056,negative,secondary18,base,-1.5419783595957295
PO018003NR0009,-0.5142297930129924,0.7475407941942356,0.7475407941942356,negative,secondary18,W1_precip,-1.261770587207228
PO018039NR0001,-5.565521502501655,-4.303750915294427,4.303750915294427,negative,secondary18,W1_precip,-1.261770587207228
PO018043NUP001,-0.8139904706248506,0.4477801165823774,0.4477801165823774,negative,secondary18,W1_precip,-1.261770587207228
PO018047NR0001,9.080749059466633,10.34251964667386,10.34251964667386,positive,secondary18,W1_precip,-1.261770587207228
PO0180480U0004,-1.4819326938233903,-0.2201621066161623,0.2201621066161623,negative,secondary18,W1_precip,-1.261770587207228
PO018048NRP001,-1.2970137924498744,-0.03524320524264635,0.03524320524264635,negative,secondary18,W1_precip,-1.261770587207228
PO018062NRD002,-1.2440286156064744,0.017741971600753637,0.017741971600753637,negative,secondary18,W1_precip,-1.261770587207228
PO018065NRG001,-1.5969242045243561,-0.3351536173171281,0.3351536173171281,negative,secondary18,W1_precip,-1.261770587207228
PO018072NUP001,-0.8266147844031444,0.4351558028040836,0.4351558028040836,negative,secondary18,W1_precip,-1.261770587207228
PO0180810U0111,-1.2071456558801552,0.0546249313270728,0.0546249313270728,negative,secondary18,W1_precip,-1.261770587207228
PO0180880U0001,-1.0612720095844974,0.2004985776227306,0.2004985776227306,negative,secondary18,W1_precip,-1.261770587207228
PO0181100U0111,-2.5601835384670117,-1.2984129512597837,1.2984129512597837,negative,secondary18,W1_precip,-1.261770587207228
PO0181140U0002,-3.1365542001964446,-1.8747836129892166,1.8747836129892166,negative,secondary18,W1_precip,-1.261770587207228
PO018147NUP001,-0.9646893391880322,0.2970812480191958,0.2970812480191958,negative,secondary18,W1_precip,-1.261770587207228
PO018162NUP001,-1.112696220524838,0.14907436668238994,0.14907436668238994,negative,secondary18,W1_precip,-1.261770587207228
PO018173NUP001,-1.513397051998922,-0.2516264647916939,0.2516264647916939,negative,secondary18,W1_precip,-1.261770587207228
PO018176NUP001,-0.7650450578150902,0.49672552939213777,0.49672552939213777,negative,secondary18,W1_precip,-1.261770587207228
PO018180NUP001,-1.66561869604958,-0.403848108842352,0.403848108842352,negative,secondary18,W1_precip,-1.261770587207228
PO018003NR0009,0.23776008301252105,0.35571959231089334,0.35571959231089334,positive,secondary18,W2_temp,-0.11795950929837229
PO018039NR0001,-4.673297221751425,-4.555337712453053,4.555337712453053,negative,secondary18,W2_temp,-0.11795950929837229
PO018043NUP001,-0.09750060132604021,0.020458907972332074,0.020458907972332074,negative,secondary18,W2_temp,-0.11795950929837229
PO018047NR0001,11.347185866866935,11.465145376165307,11.465145376165307,positive,secondary18,W2_temp,-0.11795950929837229
PO0180480U0004,-0.2824460522967325,-0.16448654299836019,0.16448654299836019,negative,secondary18,W2_temp,-0.11795950929837229
