CODICE,Data,rows,n_unique_depth,conflicting_depth
PO0180330U0002,2008-01-29,2,1,False
PO0180330U0002,2008-02-26,2,1,False
PO0180330U0002,2008-03-18,2,1,False
PO0180330U0002,2008-04-22,2,1,False
PO0180330U0002,2008-05-27,2,1,False
PO0180330U0002,2008-06-24,2,1,False
PO0180330U0002,2008-07-22,2,1,False
PO0180330U0002,2008-08-26,2,1,False
PO0180330U0002,2008-09-22,2,1,False
PO0180330U0002,2008-10-28,2,1,False
PO0180330U0002,2008-11-25,2,1,False
PO0180330U0002,2008-12-30,2,1,False
PO0180330U0002,2009-01-22,2,1,False
PO0180330U0002,2009-02-23,2,1,False
PO0180330U0002,2009-03-25,2,1,False
PO0180330U0002,2009-04-28,2,1,False
PO0180330U0002,2009-05-26,2,1,False
PO0180330U0002,2009-06-23,2,1,False
PO0180330U0002,2009-07-21,2,1,False
PO0180330U0002,2009-08-26,2,1,False
PO0180330U0002,2009-09-23,2,1,False
PO0180330U0002,2009-10-21,2,1,False
PO0180330U0002,2009-11-20,2,1,False
PO0180330U0002,2009-12-28,2,1,False
PO0180330U0002,2010-01-26,2,1,False
PO0180330U0002,2010-02-19,2,1,False
PO0180330U0002,2010-03-24,2,1,False
PO0180330U0002,2010-04-19,2,1,False
PO0180330U0002,2010-05-21,2,1,False
PO0180330U0002,2010-06-25,2,1,False
PO0180330U0002,2010-07-26,2,1,False
PO0180330U0002,2010-08-23,2,1,False
PO0180330U0002,2010-09-17,2,1,False
PO0180330U0002,2010-10-20,2,1,False
PO0180330U0002,2010-11-19,2,1,False
PO0180330U0002,2010-12-16,2,1,False
PO0180330U0002,2011-01-19,2,1,False
PO0180330U0002,2011-02-14,2,1,False
PO0180330U0002,2011-04-11,2,1,False
PO0180330U0002,2011-05-10,2,1,False
PO0180330U0002,2011-06-20,2,1,False
PO0180330U0002,2011-07-18,2,1,False
PO0180330U0002,2011-08-09,2,1,False
PO0180330U0002,2011-09-26,2,1,False
PO0180330U0002,2011-10-27,2,1,False
PO0180330U0002,2011-11-28,2,1,False
PO0180330U0002,2011-12-12,2,1,False
PO0180330U0002,2012-01-19,2,1,False
PO0180330U0002,2012-02-15,2,1,False
PO0180330U0002,2012-03-07,2,1,False
PO0180330U0002,2012-04-11,2,1,False
PO0180330U0002,2012-05-07,2,1,False
PO0180330U0002,2012-06-11,2,1,False
PO0180330U0002,2012-07-05,2,1,False
PO0180330U0002,2012-08-07,2,1,False
PO0180330U0002,2012-09-10,2,1,False
PO0180330U0002,2012-12-19,2,1,False
PO0180330U0002,2013-02-04,2,1,False
PO0180330U0002,2013-03-13,2,1,False
PO0180330U0002,2013-04-24,2,1,False
PO0180330U0002,2013-05-09,2,1,False
PO0180330U0002,2013-06-10,2,1,False
PO0180330U0002,2013-07-11,2,1,False
PO0180330U0002,2013-08-20,2,1,False
PO0180330U0002,2013-09-18,2,1,False
PO0180330U0002,2013-10-17,2,1,False
PO0180330U0002,2013-11-11,2,1,False
PO0180330U0002,2013-12-02,2,1,False
PO0180330U0002,2014-01-15,2,1,False
PO0180330U0002,2014-02-04,2,1,False
PO0180330U0002,2014-05-29,2,1,False
PO0180330U0002,2014-06-11,2,1,False
PO0180330U0002,2014-07-08,2,1,False
PO0180330U0002,2014-08-04,2,1,False
PO0180330U0002,2014-09-08,2,1,False
PO0180330U0002,2014-10-06,2,1,False
PO0180330U0002,2014-11-20,2,1,False
PO0180330U0002,2014-12-11,2,1,False
PO0180330U0002,2015-01-27,2,1,False
PO0180330U0002,2015-02-20,2,1,False
PO0180330U0002,2015-03-23,2,1,False
PO0180330U0002,2015-04-22,2,1,False
PO0180330U0002,2015-05-28,2,1,False
PO0180330U0002,2015-06-30,2,1,False
PO0180330U0002,2015-07-20,2,1,False
PO0180330U0002,2015-08-20,2,1,False
PO0180330U0002,2015-09-21,2,1,False
PO0180330U0002,2015-10-28,2,1,False
PO0180330U0002,2015-12-14,2,1,False
PO0180330U0002,2016-01-26,2,1,False
PO0180330U0002,2016-02-17,2,1,False
PO0180330U0002,2016-05-25,2,1,False
PO0180330U0002,2016-08-10,2,1,False
PO0180330U0002,2016-11-24,2,1,False
PO0180330U0002,2017-02-23,2,1,False
PO0180330U0002,2017-05-25,2,1,False
PO0180330U0002,2017-08-17,2,1,False
PO0180330U0002,2017-11-20,2,1,False
PO0180330U0002,2018-02-20,2,1,False
PO0180330U0002,2018-05-24,2,1,False
PO0180330U0002,2018-08-23,2,1,False
PO0180330U0002,2018-11-08,2,1,False
PO0180330U0002,2019-02-19,2,1,False
PO0180330U0002,2019-06-04,2,1,False
PO0180330U0002,2019-08-28,2,1,False
PO0180330U0002,2019-11-06,2,1,False
PO0180330U0002,2020-06-23,2,1,False
PO0180330U0002,2020-08-25,2,1,False
PO0180330U0002,2020-10-27,2,1,False
PO0180330U0002,2021-02-23,2,1,False
PO0180330U0002,2021-06-16,2,1,False
PO0180330U0002,2021-08-26,2,1,False
PO0180330U0002,2021-10-27,2,1,False
PO0180330U0002,2021-11-22,2,1,False
PO0180330U0002,2022-02-15,2,1,False
PO0180330U0002,2022-03-28,2,1,False
PO0180330U0002,2022-04-27,2,1,False
PO0180330U0002,2022-05-25,2,1,False
PO0180330U0002,2022-09-13,2,1,False
PO0180330U0002,2022-11-14,2,1,False
PO018048NRP001,2018-02-28,2,2,True
PO018048NRP001,2018-10-30,2,1,False
PO0180500U0002,2008-01-28,2,1,False
PO0180500U0002,2008-02-25,2,1,False
PO0180500U0002,2008-03-10,2,1,False
PO0180500U0002,2008-04-21,2,1,False
PO0180500U0002,2008-05-28,2,1,False
PO0180500U0002,2008-06-27,2,1,False
PO0180500U0002,2008-07-21,2,1,False
PO0180500U0002,2008-08-26,2,1,False
PO0180500U0002,2008-09-22,2,1,False
PO0180500U0002,2008-10-24,2,1,False
PO0180500U0002,2008-11-26,2,1,False
PO0180500U0002,2009-01-05,2,1,False
PO0180500U0002,2010-01-28,2,1,False
PO0180500U0002,2010-02-18,2,1,False
PO0180500U0002,2010-03-17,2,1,False
PO0180500U0002,2010-04-20,2,1,False
PO0180500U0002,2010-05-26,2,1,False
PO0180500U0002,2010-06-24,2,1,False
PO0180500U0002,2010-07-22,2,1,False
