metric,value,note
raw_rows,5946,
raw_stations,68,
raw_min_date,2008-01-07,
raw_max_date,2023-12-28,
missing_depth,0,
missing_date,0,
year_date_mismatches,0,
duplicate_station_date_groups,249,
conflicting_station_date_groups,1,
clean_rows,5696,
clean_stations,68,
iss_stations,37,
iss_clean_rows_all_years,3084,
iss_discovery_station_year_grid,518,
iss_discovery_observed_station_years,330,
iss_discovery_janfeb_plus_aug_station_years,221,
gw_depth_min_m,0.35,
gw_depth_median_m,5.07,
gw_depth_max_m,22.8,
negative_depth_rows,0,
