check,value
model_formula,gw_aug_mean_m ~ ff_10_anom + gw_pre_last_janfeb_m + P_A8 + T_A8 + C(station) + C(year)
coefficient_term,ff_10_anom
N,194
wells,32
years,14
year_min,2008
year_max,2021
design_columns,49
design_rank,49
candidate_primary_complete_match,PASS
station_reference_df,31
primary_covariance,additive_station_spatial_20km
failed_inclusion_exclusion_retained,YES
HC0_min_eigenvalue,4.533668251223169e-10
HC0_max_eigenvalue,27.153444251670173
HC0_negative_eigenvalues,0
HC0_psd_qa,PASS
station_cluster_CR0_min_eigenvalue,-3.1536939372242622e-15
station_cluster_CR0_max_eigenvalue,30.787715728000926
station_cluster_CR0_negative_eigenvalues,0
station_cluster_CR0_psd_qa,PASS
failed_inclusion_exclusion_20km_min_eigenvalue,-0.10074789151638237
failed_inclusion_exclusion_20km_max_eigenvalue,32.84028485392392
failed_inclusion_exclusion_20km_negative_eigenvalues,22
failed_inclusion_exclusion_20km_psd_qa,FAIL
spatial_HAC_20km_min_eigenvalue,2.0388171509890584e-10
spatial_HAC_20km_max_eigenvalue,29.801639666490715
spatial_HAC_20km_negative_eigenvalues,0
spatial_HAC_20km_psd_qa,PASS
additive_station_spatial_20km_min_eigenvalue,2.1038868347875157e-10
additive_station_spatial_20km_max_eigenvalue,59.9100824447097
additive_station_spatial_20km_negative_eigenvalues,0
additive_station_spatial_20km_psd_qa,PASS
failed_inclusion_exclusion_30km_min_eigenvalue,-0.1791691914220213
failed_inclusion_exclusion_30km_max_eigenvalue,34.434593905524736
failed_inclusion_exclusion_30km_negative_eigenvalues,25
failed_inclusion_exclusion_30km_psd_qa,FAIL
spatial_HAC_30km_min_eigenvalue,1.3742914906458978e-10
spatial_HAC_30km_max_eigenvalue,31.938942217903325
spatial_HAC_30km_negative_eigenvalues,0
spatial_HAC_30km_psd_qa,PASS
additive_station_spatial_30km_min_eigenvalue,1.4273846429206701e-10
additive_station_spatial_30km_max_eigenvalue,61.43944593794538
additive_station_spatial_30km_negative_eigenvalues,0
additive_station_spatial_30km_psd_qa,PASS
failed_inclusion_exclusion_40km_min_eigenvalue,-0.24530003621225538
failed_inclusion_exclusion_40km_max_eigenvalue,36.39009574736035
failed_inclusion_exclusion_40km_negative_eigenvalues,26
failed_inclusion_exclusion_40km_psd_qa,FAIL
spatial_HAC_40km_min_eigenvalue,9.781042269504038e-11
spatial_HAC_40km_max_eigenvalue,34.1255730848667
spatial_HAC_40km_negative_eigenvalues,0
spatial_HAC_40km_psd_qa,PASS
additive_station_spatial_40km_min_eigenvalue,1.021592062580279e-10
additive_station_spatial_40km_max_eigenvalue,63.31823806978217
additive_station_spatial_40km_negative_eigenvalues,0
additive_station_spatial_40km_psd_qa,PASS
