inference,role,beta,se,stat,p_t_station_df,p_normal,p_reported,ci95_low_t_station_df,ci95_high_t_station_df,ci95_low_reported,ci95_high_reported,reference_df,term_variance,N,wells,years,primary,publishable_inference
classical_OLS,benchmark,7.7429292844732505,2.9206929475610544,2.6510589861693745,,,0.008916040569456723,,,1.9702977787516804,13.51556079019482,145,8.530447293932879,194,32,14,False,True
HC0,diagnostic,7.7429292844732505,1.9441999324494577,3.9825787231244743,0.0003834217131998275,6.817153292914136e-05,0.0003834217131998275,3.777707379759592,11.708151189186909,3.777707379759592,11.708151189186909,31,3.7799133773364755,194,32,14,False,True
station_cluster_CR0,benchmark,7.7429292844732505,2.1817337756501405,3.5489798851218293,0.0012563737565933891,0.0003867266208390714,0.0012563737565933891,3.2932539125775833,12.192604656368918,3.2932539125775833,12.192604656368918,31,4.759962267812618,194,32,14,False,True
failed_inclusion_exclusion_20km,failed_QA_diagnostic,7.7429292844732505,2.308859879101141,3.3535726245490647,0.002116086751562963,0.0007977547553719956,,3.0339785152012864,12.451880053745214,,,31,5.330833941322937,194,32,14,False,False
spatial_HAC_20km,spatial_component_diagnostic,7.7429292844732505,2.085853554506372,3.7121154875638687,0.0008074134637885163,0.00020553416147338398,0.0008074134637885163,3.4888029128437603,11.997055656102741,3.4888029128437603,11.997055656102741,31,4.350785050846866,194,32,14,False,True
additive_station_spatial_20km,primary,7.7429292844732505,3.0184014508774752,2.565241705082773,0.015370514563907879,0.010310395437210514,0.015370514563907879,1.5868589387862109,13.89899963016029,1.5868589387862109,13.89899963016029,31,9.110747318659246,194,32,14,True,True
failed_inclusion_exclusion_30km,failed_QA_diagnostic,7.7429292844732505,2.322389194207657,3.334036045200835,0.002228092790535838,0.0008559556476950337,,3.0063852951210137,12.479473273825487,,,31,5.3934915693724905,194,32,14,False,False
spatial_HAC_30km,spatial_component_diagnostic,7.7429292844732505,2.100819525541447,3.6856708490833623,0.0008677466263989363,0.00022810100007777923,0.0008677466263989363,3.4582796136793466,12.027578955267154,3.4582796136793466,12.027578955267154,31,4.413442678896189,194,32,14,False,True
additive_station_spatial_30km,spatial_sensitivity,7.7429292844732505,3.0287629399986162,2.556465936048725,0.015692830846885154,0.010574142360867794,0.015692830846885154,1.565726542398954,13.920132026547547,1.565726542398954,13.920132026547547,31,9.173404946709061,194,32,14,False,True
failed_inclusion_exclusion_40km,failed_QA_diagnostic,7.7429292844732505,2.2750077636666246,3.4034737850713923,0.0018540291918537658,0.0006653479768720377,,3.103020359818947,12.382838209127554,,,31,5.175660324743417,194,32,14,False,False
spatial_HAC_40km,spatial_component_diagnostic,7.7429292844732505,2.048319172948212,3.780138069658647,0.0006703621386203659,0.00015674141502102713,0.0006703621386203659,3.565354788733801,11.9205037802127,3.565354788733801,11.9205037802127,31,4.195611434267247,194,32,14,False,True
additive_station_spatial_40km,spatial_sensitivity,7.7429292844732505,2.992586456909793,2.587370288532536,0.014584715397266334,0.009671160029271179,0.014584715397266334,1.6395089661019409,13.84634960284456,1.6395089661019409,13.84634960284456,31,8.955573702079906,194,32,14,False,True
