metric,value
rows,518
wells,37
years,14
pre_plus_aug_rows,221
candidate_primary_complete_rows,194
candidate_primary_complete_wells,32
candidate_primary_complete_year_2008,10
candidate_primary_complete_year_2009,6
candidate_primary_complete_year_2010,9
candidate_primary_complete_year_2011,10
candidate_primary_complete_year_2012,6
candidate_primary_complete_year_2013,12
candidate_primary_complete_year_2014,13
candidate_primary_complete_year_2015,6
candidate_primary_complete_year_2016,20
candidate_primary_complete_year_2017,25
candidate_primary_complete_year_2018,28
candidate_primary_complete_year_2019,21
candidate_primary_complete_year_2020,10
candidate_primary_complete_year_2021,18
