maxgap,target,outcome,beta,p,ci_lo,ci_hi,N,wells
30,6,change,-1.39359429668954,0.47420344791802815,-5.210222036781558,2.4230334434024785,114,27
30,7,change,-5.706657523521887,0.33762981989861995,-17.371400827664004,5.95808578062023,106,27
30,8,change,0.25909891436402077,0.9550598693349042,-8.752245612261248,9.27044344098929,88,27
30,8,direct,0.12281035798196882,0.9785712431223178,-8.838550233866938,9.084170949830876,88,27
45,6,change,-0.9761706375143424,0.5358075988289497,-4.06623382786346,2.1138925528347747,147,29
45,7,change,-4.74568880798882,0.36517787026524684,-15.017294569533034,5.525916953555393,148,28
45,8,change,2.9352747507357257,0.15921096556794645,-1.1514690415879238,7.022018543059375,146,28
45,8,direct,3.688615226428815,0.07494488865909037,-0.3711034478153845,7.748333900673014,146,28
60,6,change,-1.1482481684107966,0.34031103902723825,-3.508400254593706,1.211903917772113,176,31
60,7,change,-4.4984822902875035,0.2658111253046357,-12.421894360046661,3.424929779471655,175,31
60,8,change,2.5336060319215523,0.12787076988776397,-0.727875899213489,5.795087963056593,170,30
60,8,direct,3.33089945478662,0.02465611653206469,0.42516990708017177,6.236629002493068,170,30
