orientation,timing,beta,p,N,wells
FF outcome,prev Oct-Nov GW,0.0011666414084651206,0.6616128646611699,256,33
FF outcome,Jan-Feb GW,-0.002396623173959028,0.28096465965160466,218,32
FF outcome,March GW,-0.0034284117826262426,0.3147599065832104,181,30
FF outcome,April GW,-0.00010837504637892859,0.9819932184855643,165,31
FF outcome,May GW,0.0019099214587402628,0.5654178278306645,201,32
FF outcome,June GW,0.0021175079174738302,0.5948165235049678,183,32
GW outcome,Jan-Feb GW,-2.636436351312792,0.16454275256287265,218,32
GW outcome,March GW,-2.615342553641437,0.27659212700043245,181,30
GW outcome,April GW,-0.08738186586842529,0.9818650407292765,165,31
GW outcome,May GW,1.4176961399498034,0.526134393611263,201,32
GW outcome,June GW,1.7965355206435685,0.6162350874563827,183,32
