study_id,evidence_tier,claim,support
Lagomarsino_2016,A2,aerobic_or_drained_management_reduces_CH4,support
Lagomarsino_2016,A2,aerobic_or_drained_management_can_increase_N2O,support
Lagomarsino_2016,A2,aerobic_or_drained_management_generally_reduces_GWP,counterexample
Meijide_2017,A2,aerobic_or_drained_management_reduces_CH4,support
Meijide_2017,A2,aerobic_or_drained_management_can_increase_N2O,support
Meijide_2017,A2,aerobic_or_drained_management_generally_reduces_GWP,support
Italian_N2O_process_2018,A2,aerobic_or_drained_management_reduces_CH4,not_applicable
Italian_N2O_process_2018,A2,aerobic_or_drained_management_can_increase_N2O,support
Italian_N2O_process_2018,A2,aerobic_or_drained_management_generally_reduces_GWP,not_applicable
Vitali_2024,A1,aerobic_or_drained_management_reduces_CH4,support
Vitali_2024,A1,aerobic_or_drained_management_can_increase_N2O,qualified
Vitali_2024,A1,aerobic_or_drained_management_generally_reduces_GWP,support
NorthernItaly_2021,A1,aerobic_or_drained_management_reduces_CH4,not_applicable
NorthernItaly_2021,A1,aerobic_or_drained_management_can_increase_N2O,not_applicable
NorthernItaly_2021,A1,aerobic_or_drained_management_generally_reduces_GWP,not_applicable
Carrijo_2017,C,aerobic_or_drained_management_reduces_CH4,not_applicable
Carrijo_2017,C,aerobic_or_drained_management_can_increase_N2O,not_applicable
Carrijo_2017,C,aerobic_or_drained_management_generally_reduces_GWP,not_applicable
Jiang_2019_FCR,C,aerobic_or_drained_management_reduces_CH4,support
Jiang_2019_FCR,C,aerobic_or_drained_management_can_increase_N2O,support
Jiang_2019_FCR,C,aerobic_or_drained_management_generally_reduces_GWP,support
MidseasonDrainage_2019,C,aerobic_or_drained_management_reduces_CH4,support
MidseasonDrainage_2019,C,aerobic_or_drained_management_can_increase_N2O,support
MidseasonDrainage_2019,C,aerobic_or_drained_management_generally_reduces_GWP,support
AFM_2024_meta,C,aerobic_or_drained_management_reduces_CH4,support
AFM_2024_meta,C,aerobic_or_drained_management_can_increase_N2O,support
AFM_2024_meta,C,aerobic_or_drained_management_generally_reduces_GWP,support
FCR_2024_meta,C,aerobic_or_drained_management_reduces_CH4,support
FCR_2024_meta,C,aerobic_or_drained_management_can_increase_N2O,support
FCR_2024_meta,C,aerobic_or_drained_management_generally_reduces_GWP,support
Zhao_2024_GCB,C,aerobic_or_drained_management_reduces_CH4,support
Zhao_2024_GCB,C,aerobic_or_drained_management_can_increase_N2O,support
Zhao_2024_GCB,C,aerobic_or_drained_management_generally_reduces_GWP,support
Minamikawa_2025,C,aerobic_or_drained_management_reduces_CH4,support
Minamikawa_2025,C,aerobic_or_drained_management_can_increase_N2O,support
Minamikawa_2025,C,aerobic_or_drained_management_generally_reduces_GWP,support
