evidence_subset,outcome,direction,n_studies
all_direct_GHG,CH4_direction,decrease,9
all_direct_GHG,CH4_direction,not_primary,1
all_direct_GHG,N2O_direction,increase,9
all_direct_GHG,N2O_direction,no_clear_increase,1
all_direct_GHG,GWP_direction,decrease,7
all_direct_GHG,GWP_direction,increase,1
all_direct_GHG,GWP_direction,not_primary,1
all_direct_GHG,GWP_direction,usually_decrease,1
local_A1_A2_direct_GHG,CH4_direction,decrease,3
local_A1_A2_direct_GHG,CH4_direction,not_primary,1
local_A1_A2_direct_GHG,N2O_direction,increase,3
local_A1_A2_direct_GHG,N2O_direction,no_clear_increase,1
local_A1_A2_direct_GHG,GWP_direction,decrease,2
local_A1_A2_direct_GHG,GWP_direction,increase,1
local_A1_A2_direct_GHG,GWP_direction,not_primary,1
global_tier_C_direct_GHG,CH4_direction,decrease,6
global_tier_C_direct_GHG,N2O_direction,increase,6
global_tier_C_direct_GHG,GWP_direction,decrease,5
global_tier_C_direct_GHG,GWP_direction,usually_decrease,1
