year,surface_variable,n_days,pearson_r,spearman_rho
2019,rainfall_mm,162,0.004943587618320471,0.21374351536431851
2019,mean_ponding_level_mm,162,-0.5708534601619896,-0.5743325523587657
2019,total_irrigation_inflow_mm,162,-0.21742988417987988,-0.4180272300323953
2019,total_irrigation_outflow_mm,162,-0.2560920242531242,-0.5876229094958412
2019,total_net_irrigation_mm,162,-0.06639102169208953,-0.21978951614046152
2019,total_percolation_balance_mm,162,-0.15319875561168775,-0.13787682059401787
2020,rainfall_mm,157,-0.07039107353610732,-0.2112822178694628
2020,mean_ponding_level_mm,157,0.6101230377565314,0.6375834825882591
2020,total_irrigation_inflow_mm,157,0.05438781729671201,0.38545494872634795
2020,total_irrigation_outflow_mm,157,0.12345632249500045,0.618525037439064
2020,total_net_irrigation_mm,157,-0.037974122710744344,0.24305624847723578
2020,total_percolation_balance_mm,157,-0.08451684746823807,0.06642938931447653
