year,surface_variable,n_days,pearson_r_first_difference,spearman_rho_first_difference
2019,rainfall_mm,161,-0.027984488375766368,-0.032726451819752755
2019,mean_ponding_level_mm,161,-0.25370991441401897,-0.21661468705321668
2019,total_irrigation_inflow_mm,161,-0.04882476329417892,-0.03534876780311925
2019,total_irrigation_outflow_mm,161,-0.19328493620806067,-0.14676307618718118
2019,total_net_irrigation_mm,161,0.0578214270130454,0.0756716630272543
2019,total_percolation_balance_mm,161,-0.0004005215281724062,0.07705314009661837
2020,rainfall_mm,156,-0.08345256125286928,0.02116761630777034
2020,mean_ponding_level_mm,156,0.08834529707882444,-0.002565278104511203
2020,total_irrigation_inflow_mm,156,-0.217490995976384,0.0728050464903012
2020,total_irrigation_outflow_mm,156,0.1655604311482372,0.33708802358086837
2020,total_net_irrigation_mm,156,-0.276933907859402,-0.06451532047221607
2020,total_percolation_balance_mm,156,0.18116827515857525,0.10731298699246099
