year,surface_variable,lag_days,n_days,pearson_r,spearman_rho
2019,rainfall_mm,0,162,0.004943587618320471,0.21374351536431851
2019,rainfall_mm,1,161,0.002488268614914028,0.21674442586367584
2019,rainfall_mm,3,159,-0.0034543719557331076,0.21923829408480494
2019,rainfall_mm,7,155,0.0060063625584579,0.22526764346857855
2019,mean_ponding_level_mm,0,162,-0.5708534601619896,-0.5743325523587657
2019,mean_ponding_level_mm,1,161,-0.590499619526053,-0.5892777850371871
2019,mean_ponding_level_mm,3,159,-0.6176225211213204,-0.6156737020051896
2019,mean_ponding_level_mm,7,155,-0.6595840343348884,-0.6611615250896344
2019,total_irrigation_inflow_mm,0,162,-0.21742988417987988,-0.4180272300323953
2019,total_irrigation_inflow_mm,1,161,-0.24238190929247297,-0.438700841124902
2019,total_irrigation_inflow_mm,3,159,-0.28097725010765695,-0.4659551425252984
2019,total_irrigation_inflow_mm,7,155,-0.3226458800640864,-0.505350988944654
2019,total_irrigation_outflow_mm,0,162,-0.2560920242531242,-0.5876229094958412
2019,total_irrigation_outflow_mm,1,161,-0.26473760487403636,-0.5931639234138396
2019,total_irrigation_outflow_mm,3,159,-0.2782321729529994,-0.6035901202663553
2019,total_irrigation_outflow_mm,7,155,-0.2865389894522336,-0.6034816509706821
2019,total_net_irrigation_mm,0,162,-0.06639102169208953,-0.21978951614046152
2019,total_net_irrigation_mm,1,161,-0.08883514091933754,-0.24279613954770615
2019,total_net_irrigation_mm,3,159,-0.12310520906963812,-0.27572738776711336
2019,total_net_irrigation_mm,7,155,-0.16340094318870627,-0.33865111041772966
2019,total_percolation_balance_mm,0,162,-0.15319875561168775,-0.13787682059401787
2019,total_percolation_balance_mm,1,161,-0.17842670221729878,-0.1608769853880565
2019,total_percolation_balance_mm,3,159,-0.214147253729146,-0.19876865802538526
2019,total_percolation_balance_mm,7,155,-0.26925146135740746,-0.2667769865433711
2020,rainfall_mm,0,157,-0.07039107353610732,-0.2112822178694628
2020,rainfall_mm,1,156,-0.055503188424016414,-0.202328771058735
2020,rainfall_mm,3,154,-0.07743198313111062,-0.23853910576075968
2020,rainfall_mm,7,150,-0.1214343179654043,-0.2330253783695453
2020,mean_ponding_level_mm,0,157,0.6101230377565314,0.6375834825882591
2020,mean_ponding_level_mm,1,156,0.6376760054271698,0.6540854680916582
2020,mean_ponding_level_mm,3,154,0.6648529220076537,0.6614050649718227
2020,mean_ponding_level_mm,7,150,0.725216438503456,0.7114523848233283
2020,total_irrigation_inflow_mm,0,157,0.05438781729671201,0.38545494872634795
2020,total_irrigation_inflow_mm,1,156,0.1092872025221488,0.4036877271633535
2020,total_irrigation_inflow_mm,3,154,0.1318373773567991,0.4090555972840628
2020,total_irrigation_inflow_mm,7,150,0.15243401456700562,0.4414339993475547
2020,total_irrigation_outflow_mm,0,157,0.12345632249500045,0.618525037439064
2020,total_irrigation_outflow_mm,1,156,0.11861850696779372,0.6252662726085134
2020,total_irrigation_outflow_mm,3,154,0.11236545383080476,0.6255035608416797
2020,total_irrigation_outflow_mm,7,150,0.10449226294867837,0.6294957220664619
2020,total_net_irrigation_mm,0,157,-0.037974122710744344,0.24305624847723578
2020,total_net_irrigation_mm,1,156,0.008598803534822067,0.2567981265024394
2020,total_net_irrigation_mm,3,154,0.030312838287953173,0.26691282514479797
2020,total_net_irrigation_mm,7,150,0.05115401489101426,0.28929016192275886
2020,total_percolation_balance_mm,0,157,-0.08451684746823807,0.06642938931447653
2020,total_percolation_balance_mm,1,156,-0.06230641505443975,0.06490024252838439
2020,total_percolation_balance_mm,3,154,-0.05091319589042108,0.06491376074142406
2020,total_percolation_balance_mm,7,150,-0.02785668934129482,0.08696572022379562
