year,treatment,state,spell_id,start_date,end_date,length_days,start_index,end_index
2019,AWD,wet,1,2019-05-14,2019-05-31,18,0,17
2019,AWD,wet,2,2019-06-04,2019-06-17,14,21,34
2019,AWD,wet,3,2019-06-21,2019-07-12,22,38,59
2019,AWD,wet,4,2019-07-15,2019-07-15,1,62,62
2019,AWD,wet,5,2019-07-18,2019-09-04,49,65,113
2019,AWD,dry,1,2019-06-01,2019-06-03,3,18,20
2019,AWD,dry,2,2019-06-18,2019-06-20,3,35,37
2019,AWD,dry,3,2019-07-13,2019-07-14,2,60,61
2019,AWD,dry,4,2019-07-16,2019-07-17,2,63,64
2019,AWD,dry,5,2019-09-05,2019-10-08,34,114,147
2019,DFL,wet,1,2019-06-07,2019-07-09,33,38,70
2019,DFL,wet,2,2019-07-12,2019-08-30,50,73,122
2019,DFL,dry,1,2019-04-30,2019-06-06,38,0,37
2019,DFL,dry,2,2019-07-10,2019-07-11,2,71,72
2019,DFL,dry,3,2019-08-31,2019-10-03,34,123,156
2019,WFL,wet,1,2019-05-14,2019-05-29,16,0,15
2019,WFL,wet,2,2019-05-31,2019-05-31,1,17,17
2019,WFL,wet,3,2019-06-04,2019-06-05,2,21,22
2019,WFL,wet,4,2019-06-07,2019-06-09,3,24,26
2019,WFL,wet,5,2019-06-12,2019-06-17,6,29,34
2019,WFL,wet,6,2019-06-21,2019-07-11,21,38,58
2019,WFL,wet,7,2019-07-18,2019-09-04,49,65,113
2019,WFL,dry,1,2019-05-30,2019-05-30,1,16,16
2019,WFL,dry,2,2019-06-01,2019-06-03,3,18,20
2019,WFL,dry,3,2019-06-06,2019-06-06,1,23,23
2019,WFL,dry,4,2019-06-10,2019-06-11,2,27,28
2019,WFL,dry,5,2019-06-18,2019-06-20,3,35,37
2019,WFL,dry,6,2019-07-12,2019-07-17,6,59,64
2019,WFL,dry,7,2019-09-05,2019-10-08,34,114,147
2020,AWD,wet,1,2020-05-07,2020-05-14,8,1,8
2020,AWD,wet,2,2020-05-20,2020-05-20,1,14,14
2020,AWD,wet,3,2020-05-22,2020-05-23,2,16,17
2020,AWD,wet,4,2020-05-28,2020-05-28,1,22,22
2020,AWD,wet,5,2020-06-01,2020-06-07,7,26,32
2020,AWD,wet,6,2020-06-13,2020-06-29,17,38,54
2020,AWD,wet,7,2020-07-02,2020-07-31,30,57,86
2020,AWD,wet,8,2020-08-02,2020-08-16,15,88,102
2020,AWD,wet,9,2020-08-18,2020-08-30,13,104,116
2020,AWD,dry,1,2020-05-06,2020-05-06,1,0,0
2020,AWD,dry,2,2020-05-15,2020-05-19,5,9,13
2020,AWD,dry,3,2020-05-21,2020-05-21,1,15,15
2020,AWD,dry,4,2020-05-24,2020-05-27,4,18,21
2020,AWD,dry,5,2020-05-29,2020-05-31,3,23,25
2020,AWD,dry,6,2020-06-08,2020-06-12,5,33,37
2020,AWD,dry,7,2020-06-30,2020-07-01,2,55,56
2020,AWD,dry,8,2020-08-01,2020-08-01,1,87,87
2020,AWD,dry,9,2020-08-17,2020-08-17,1,103,103
2020,AWD,dry,10,2020-08-31,2020-09-30,31,117,147
2020,DFL,wet,1,2020-05-27,2020-07-05,40,33,72
2020,DFL,wet,2,2020-07-09,2020-08-24,47,76,122
2020,DFL,wet,3,2020-08-28,2020-08-28,1,126,126
2020,DFL,wet,4,2020-08-30,2020-08-30,1,128,128
2020,DFL,dry,1,2020-04-24,2020-05-26,33,0,32
2020,DFL,dry,2,2020-07-06,2020-07-08,3,73,75
2020,DFL,dry,3,2020-08-25,2020-08-27,3,123,125
2020,DFL,dry,4,2020-08-29,2020-08-29,1,127,127
2020,DFL,dry,5,2020-08-31,2020-09-30,31,129,159
2020,WFL,wet,1,2020-05-07,2020-05-14,8,1,8
2020,WFL,wet,2,2020-05-20,2020-05-25,6,14,19
2020,WFL,wet,3,2020-05-28,2020-06-07,11,22,32
2020,WFL,wet,4,2020-06-13,2020-06-28,16,38,53
2020,WFL,wet,5,2020-07-02,2020-08-26,56,57,112
2020,WFL,dry,1,2020-05-06,2020-05-06,1,0,0
2020,WFL,dry,2,2020-05-15,2020-05-19,5,9,13
2020,WFL,dry,3,2020-05-26,2020-05-27,2,20,21
2020,WFL,dry,4,2020-06-08,2020-06-12,5,33,37
2020,WFL,dry,5,2020-06-29,2020-07-01,3,54,56
2020,WFL,dry,6,2020-08-27,2020-09-30,35,113,147
