year,treatment,threshold_mm,wet_fraction_change,wet_spells_change,dry_spells_change,wet_to_dry_change,longest_dry_spell_change_days
2019,AWD,1,-0.006993006993006978,1,1,1,0
2019,DFL,1,0.0,0,0,0,0
2019,WFL,1,-0.020979020979020935,-1,-1,-1,0
2019,AWD,5,-0.034965034965035,1,1,1,0
2019,DFL,5,0.0,0,0,0,0
2019,WFL,5,-0.05594405594405594,-2,-2,-2,0
2020,AWD,1,0.0,0,0,0,0
2020,DFL,1,0.0,0,0,0,0
2020,WFL,1,0.0,0,0,0,0
2020,AWD,5,-0.013513513513513487,1,1,1,0
2020,DFL,5,-0.006756756756756688,-1,-1,-1,0
2020,WFL,5,-0.006756756756756688,0,0,0,0
