year,treatment,threshold_mm,common_start,common_end,n_days,wet_days,dry_days,wet_fraction,dry_fraction,n_wet_spells,n_dry_spells,wet_to_dry_transitions,dry_to_wet_transitions,longest_wet_spell_days,longest_dry_spell_days
2019,AWD,0,2019-05-14,2019-10-03,143,104,39,0.7272727272727273,0.2727272727272727,5,5,5,4,49,29
2019,DFL,0,2019-05-14,2019-10-03,143,83,60,0.5804195804195804,0.4195804195804196,2,3,2,2,50,34
2019,WFL,0,2019-05-14,2019-10-03,143,98,45,0.6853146853146853,0.3146853146853147,7,7,7,6,49,29
2019,AWD,1,2019-05-14,2019-10-03,143,103,40,0.7202797202797203,0.27972027972027974,6,6,6,5,38,29
2019,DFL,1,2019-05-14,2019-10-03,143,83,60,0.5804195804195804,0.4195804195804196,2,3,2,2,50,34
2019,WFL,1,2019-05-14,2019-10-03,143,95,48,0.6643356643356644,0.3356643356643357,6,6,6,5,49,29
2019,AWD,5,2019-05-14,2019-10-03,143,99,44,0.6923076923076923,0.3076923076923077,6,6,6,5,22,29
2019,DFL,5,2019-05-14,2019-10-03,143,83,60,0.5804195804195804,0.4195804195804196,2,3,2,2,50,34
2019,WFL,5,2019-05-14,2019-10-03,143,90,53,0.6293706293706294,0.3706293706293706,5,5,5,4,49,29
2020,AWD,0,2020-05-06,2020-09-30,148,94,54,0.6351351351351351,0.36486486486486486,9,10,9,9,30,31
2020,DFL,0,2020-05-06,2020-09-30,148,89,59,0.6013513513513513,0.39864864864864863,4,5,4,4,47,31
2020,WFL,0,2020-05-06,2020-09-30,148,97,51,0.6554054054054054,0.34459459459459457,5,6,5,5,56,35
2020,AWD,1,2020-05-06,2020-09-30,148,94,54,0.6351351351351351,0.36486486486486486,9,10,9,9,30,31
2020,DFL,1,2020-05-06,2020-09-30,148,89,59,0.6013513513513513,0.39864864864864863,4,5,4,4,47,31
2020,WFL,1,2020-05-06,2020-09-30,148,97,51,0.6554054054054054,0.34459459459459457,5,6,5,5,56,35
2020,AWD,5,2020-05-06,2020-09-30,148,92,56,0.6216216216216216,0.3783783783783784,10,11,10,10,16,31
2020,DFL,5,2020-05-06,2020-09-30,148,88,60,0.5945945945945946,0.40540540540540543,3,4,3,3,47,31
2020,WFL,5,2020-05-06,2020-09-30,148,96,52,0.6486486486486487,0.35135135135135137,5,6,5,5,56,35
