year,treatment,variable,n_rows,n_missing,percent_missing
2019,AWD,days_after_sowing,148,0,0.0
2019,AWD,irrigation_inflow_mm,148,0,0.0
2019,AWD,irrigation_outflow_mm,148,0,0.0
2019,AWD,net_irrigation_calculated_mm,148,0,0.0
2019,AWD,net_irrigation_reported_mm,148,148,100.0
2019,AWD,ponding_level_mm,148,0,0.0
2019,AWD,rainfall_mm,148,0,0.0
2019,AWD,etc_adjusted_mm,148,0,0.0
2019,AWD,delta_ponding_storage_mm,148,0,0.0
2019,AWD,delta_soil_storage_mm,148,0,0.0
2019,AWD,percolation_balance_mm,148,0,0.0
2019,AWD,percolation_model_mm,148,0,0.0
2019,AWD,percolation_model_heavy_soil_zone_mm,148,148,100.0
2019,DFL,days_after_sowing,157,0,0.0
2019,DFL,irrigation_inflow_mm,157,0,0.0
2019,DFL,irrigation_outflow_mm,157,0,0.0
2019,DFL,net_irrigation_calculated_mm,157,0,0.0
2019,DFL,net_irrigation_reported_mm,157,157,100.0
2019,DFL,ponding_level_mm,157,0,0.0
2019,DFL,rainfall_mm,157,0,0.0
2019,DFL,etc_adjusted_mm,157,0,0.0
2019,DFL,delta_ponding_storage_mm,157,0,0.0
2019,DFL,delta_soil_storage_mm,157,0,0.0
2019,DFL,percolation_balance_mm,157,0,0.0
2019,DFL,percolation_model_mm,157,0,0.0
2019,DFL,percolation_model_heavy_soil_zone_mm,157,157,100.0
2019,WFL,days_after_sowing,148,0,0.0
2019,WFL,irrigation_inflow_mm,148,0,0.0
2019,WFL,irrigation_outflow_mm,148,0,0.0
2019,WFL,net_irrigation_calculated_mm,148,0,0.0
2019,WFL,net_irrigation_reported_mm,148,148,100.0
2019,WFL,ponding_level_mm,148,0,0.0
2019,WFL,rainfall_mm,148,0,0.0
2019,WFL,etc_adjusted_mm,148,0,0.0
2019,WFL,delta_ponding_storage_mm,148,0,0.0
2019,WFL,delta_soil_storage_mm,148,0,0.0
2019,WFL,percolation_balance_mm,148,0,0.0
2019,WFL,percolation_model_mm,148,0,0.0
2019,WFL,percolation_model_heavy_soil_zone_mm,148,148,100.0
2020,AWD,days_after_sowing,148,2,1.3513513513513513
2020,AWD,irrigation_inflow_mm,148,0,0.0
2020,AWD,irrigation_outflow_mm,148,0,0.0
2020,AWD,net_irrigation_calculated_mm,148,0,0.0
2020,AWD,net_irrigation_reported_mm,148,0,0.0
2020,AWD,ponding_level_mm,148,0,0.0
2020,AWD,rainfall_mm,148,0,0.0
2020,AWD,etc_adjusted_mm,148,0,0.0
2020,AWD,delta_ponding_storage_mm,148,0,0.0
2020,AWD,delta_soil_storage_mm,148,0,0.0
2020,AWD,percolation_balance_mm,148,0,0.0
2020,AWD,percolation_model_mm,148,148,100.0
2020,AWD,percolation_model_heavy_soil_zone_mm,148,0,0.0
2020,DFL,days_after_sowing,160,0,0.0
2020,DFL,irrigation_inflow_mm,160,0,0.0
2020,DFL,irrigation_outflow_mm,160,0,0.0
2020,DFL,net_irrigation_calculated_mm,160,0,0.0
2020,DFL,net_irrigation_reported_mm,160,0,0.0
2020,DFL,ponding_level_mm,160,0,0.0
2020,DFL,rainfall_mm,160,0,0.0
2020,DFL,etc_adjusted_mm,160,0,0.0
2020,DFL,delta_ponding_storage_mm,160,0,0.0
2020,DFL,delta_soil_storage_mm,160,0,0.0
2020,DFL,percolation_balance_mm,160,0,0.0
2020,DFL,percolation_model_mm,160,160,100.0
2020,DFL,percolation_model_heavy_soil_zone_mm,160,0,0.0
2020,WFL,days_after_sowing,148,148,100.0
2020,WFL,irrigation_inflow_mm,148,0,0.0
2020,WFL,irrigation_outflow_mm,148,0,0.0
2020,WFL,net_irrigation_calculated_mm,148,0,0.0
2020,WFL,net_irrigation_reported_mm,148,0,0.0
2020,WFL,ponding_level_mm,148,0,0.0
2020,WFL,rainfall_mm,148,0,0.0
2020,WFL,etc_adjusted_mm,148,0,0.0
2020,WFL,delta_ponding_storage_mm,148,0,0.0
2020,WFL,delta_soil_storage_mm,148,0,0.0
2020,WFL,percolation_balance_mm,148,0,0.0
2020,WFL,percolation_model_mm,148,148,100.0
2020,WFL,percolation_model_heavy_soil_zone_mm,148,0,0.0
