subdistrict,year,ws,count
all,2000,0.667855241794482,3540
all,2001,0.654197465854483,3914
all,2002,0.696526031859968,3619
all,2003,0.614279330577622,4016
all,2004,0.695340759255983,3886
all,2005,0.652154180518775,3635
all,2006,0.672709519463727,3658
all,2007,0.615331556276251,3381
all,2008,0.68598901729804,3500
all,2009,0.689000227912121,3766
all,2010,0.657134171877376,3807
all,2011,0.548817697651083,3865
all,2012,0.612912900047715,3678
all,2013,0.688144914256557,3636
all,2014,0.577350465436165,3743
all,2015,0.473006577470937,3637
all,2016,0.48014904608607,3693
all,2017,0.444301914867532,3635
all,2018,0.485433118384145,3345
all,2019,0.420913032525656,3412
all,2020,0.387157829556508,3782
all,2021,0.353991236336189,3778
