subdistrict,year,ws,count
A,2000,0.758630787562642,304
A,2001,0.771828427422438,330
A,2002,0.815428158552176,323
A,2003,0.729531826476269,337
A,2004,0.860375506707849,333
A,2005,0.820948321523065,329
A,2006,0.859319692849302,328
A,2007,0.803657050491337,309
A,2008,0.868394843684047,323
A,2009,0.859188063528582,328
A,2010,0.867785440944174,331
A,2011,0.705837618093734,319
A,2012,0.784072913713541,310
A,2013,0.784459190127679,320
A,2014,0.676461087624471,301
A,2015,0.614779631917286,306
A,2016,0.654499572476094,298
A,2017,0.568339390934231,307
A,2018,0.616729105074542,307
A,2019,0.609537833280422,266
A,2020,0.531775836672766,304
A,2021,0.555888087780915,313
B,2000,0.732046171996027,640
B,2001,0.705966048862685,677
B,2002,0.753668113625543,668
B,2003,0.671933879193062,684
B,2004,0.780214237612805,674
B,2005,0.725649753001727,641
B,2006,0.695314167206467,645
B,2007,0.671235340865575,612
B,2008,0.771609682473111,635
B,2009,0.779191572312056,657
B,2010,0.759011576155747,658
B,2011,0.638009241629378,656
B,2012,0.751539062398871,641
B,2013,0.771596209962955,634
B,2014,0.63938540942554,639
B,2015,0.577767235227053,631
B,2016,0.613050490017414,621
B,2017,0.567972441786641,639
B,2018,0.593041829134539,624
B,2019,0.485971045633972,627
B,2020,0.460192587845929,647
B,2021,0.427593374524431,642
C,2000,0.820754426905488,857
C,2001,0.796703251303076,876
C,2002,0.849377631763921,861
C,2003,0.807052513910895,875
C,2004,0.846285707480946,870
C,2005,0.832356500196153,868
C,2006,0.88126421970275,863
C,2007,0.800515151407323,830
C,2008,0.862466161378181,858
C,2009,0.837441588968673,871
C,2010,0.821855529541416,858
C,2011,0.713175774902911,858
C,2012,0.75366257365881,850
C,2013,0.830988124495922,856
C,2014,0.710487919812942,853
C,2015,0.626977404367811,853
C,2016,0.592208265055985,849
C,2017,0.544773849371677,847
C,2018,0.633619989896034,845
C,2019,0.585240712242607,833
C,2020,0.550311235556578,849
C,2021,0.494591828825939,861
D,2000,0.508125674606178,103
D,2001,0.684347042954046,132
D,2002,0.623709613647546,109
D,2003,0.577290100791034,126
D,2004,0.558623053433859,114
D,2005,0.51568025726745,101
D,2006,0.778596058925562,111
D,2007,0.452088930788886,96
D,2008,0.621050537289051,98
D,2009,0.668236568511102,121
D,2010,0.537013683589266,107
D,2011,0.532632250806835,128
D,2012,0.454643300199948,109
D,2013,0.692923851226192,104
D,2014,0.674252169740443,115
D,2015,0.375235230683384,106
D,2016,0.327154829069466,94
D,2017,0.373149512580317,92
D,2018,0.17179570207549,92
D,2019,0.212527535424956,94
D,2020,0.259349209948364,101
D,2021,0.269043309368707,113
E,2000,0.573941280992416,1046
E,2001,0.541978183724669,1130
E,2002,0.595704616816818,1012
E,2003,0.486690198944455,1157
E,2004,0.568743021894196,1091
E,2005,0.503728601461653,1034
E,2006,0.528186380649923,1085
E,2007,0.431887539985082,965
E,2008,0.535196463741965,1017
E,2009,0.574151379252198,1078
E,2010,0.492527401825649,1120
E,2011,0.400675202475545,1140
E,2012,0.456475864124309,1085
E,2013,0.605241292020965,1105
E,2014,0.495523860415213,1105
E,2015,0.327155235337986,1092
E,2016,0.335487472700133,1113
E,2017,0.329904024585625,1097
E,2018,0.359375350830918,1065
E,2019,0.24124560631009,1074
E,2020,0.237211115368204,1168
E,2021,0.181927398304691,1153
F,2000,0.508707847672935,212
F,2001,0.527821805594851,294
F,2002,0.557717533928429,251
F,2003,0.329703016442807,338
F,2004,0.541806632003456,327
F,2005,0.407413961027136,272
F,2006,0.384580958614427,240
F,2007,0.443350010584021,220
F,2008,0.43922238522065,238
F,2009,0.413589677784234,289
F,2010,0.346553325267835,292
F,2011,0.218604032513489,300
F,2012,0.348843163547757,264
F,2013,0.414295153694704,228
F,2014,0.336846231819383,291
F,2015,0.122870114444298,255
F,2016,0.197725728976427,285
F,2017,0.222842898871942,253
F,2018,0.145978791400572,129
F,2019,0.146008129463699,197
F,2020,0.0731361015758569,258
F,2021,0.0759072236745508,253
G,2000,0.317874450526566,378
G,2001,0.354731616532953,475
G,2002,0.330796077556315,395
G,2003,0.165990954773722,499
G,2004,0.268621201736882,477
G,2005,0.212919312440485,390
G,2006,0.17584098389322,386
G,2007,0.245663784470982,349
G,2008,0.207854098884227,331
G,2009,0.234710113779313,422
G,2010,0.193102898115856,441
G,2011,0.121647417272945,464
G,2012,0.131177480797204,419
G,2013,0.301950334421951,389
G,2014,0.227151779494164,439
G,2015,0.0658315807136668,394
G,2016,0.0968526272108093,433
G,2017,0.105068300880687,400
G,2018,0.0846733260662946,283
G,2019,0.104773642817559,321
G,2020,0.0224643853156788,455
G,2021,0.0260828202079948,443
