series,block_length,observed_slope,residual_lag1,durbin_watson,bootstrap_median_slope,bootstrap_low95,bootstrap_high95,bootstrap_prob_negative
balanced_primary,3,-0.01323612542017473,0.2780971239516302,1.4317451236863783,-0.013195592254599743,-0.016332355313301166,-0.010125962917085327,1.0
balanced_primary,4,-0.01323612542017473,0.2780971239516302,1.4317451236863783,-0.013221125865455555,-0.016367663036307958,-0.010096196565970196,1.0
balanced_primary,5,-0.01323612542017473,0.2780971239516302,1.4317451236863783,-0.013227553112273714,-0.016399097592673394,-0.00999099370193505,1.0
full_sample_sensitivity,3,-0.010166642192484665,0.20754844877527764,1.570072116594243,-0.01013974593417178,-0.012871897334003431,-0.007508020965608795,1.0
full_sample_sensitivity,4,-0.010166642192484665,0.20754844877527764,1.570072116594243,-0.01016569350463472,-0.012840826502267916,-0.007484429290019047,1.0
full_sample_sensitivity,5,-0.010166642192484665,0.20754844877527764,1.570072116594243,-0.010148522146249367,-0.012826782293564138,-0.007459766109838459,1.0
balanced_count_ge3,3,-0.013481116605410836,0.29073398118223465,1.404308015075111,-0.013461806164067381,-0.016814138464016228,-0.01020684963130127,1.0
balanced_count_ge3,4,-0.013481116605410836,0.29073398118223465,1.404308015075111,-0.013471073924462212,-0.016785767579364782,-0.010195869417961734,1.0
balanced_count_ge3,5,-0.013481116605410836,0.29073398118223465,1.404308015075111,-0.013483986205214968,-0.016822591764398136,-0.010138198713220336,1.0
balanced_count_weighted,3,-0.013877739046654684,0.32765958452145294,1.3285740383742766,-0.01384949084566546,-0.01740394139886299,-0.010359507147247914,1.0
balanced_count_weighted,4,-0.013877739046654684,0.32765958452145294,1.3285740383742766,-0.013834757512783215,-0.017357172047616255,-0.010305432806967826,1.0
balanced_count_weighted,5,-0.013877739046654684,0.32765958452145294,1.3285740383742766,-0.013857821793531403,-0.017459515082067285,-0.010251249718695215,1.0
district_WS,3,-0.014583605826382491,0.4394595354186193,1.0430355650617156,-0.014536720331007235,-0.019405800925352667,-0.009730313667257996,1.0
district_WS,4,-0.014583605826382491,0.4394595354186193,1.0430355650617156,-0.014588588804639068,-0.019717099319388635,-0.0094014372678012,1.0
district_WS,5,-0.014583605826382491,0.4394595354186193,1.0430355650617156,-0.014587679180301747,-0.01991585482590677,-0.009112597323221625,1.0
