study_id,evidence_tier,claim,support
Giuliano_Bogliani_2018,A1,rice_paddies_provide_temporary_wetland_like_habitat,support
Giuliano_Bogliani_2018,A1,water_timing_duration_or_continuity_affects_habitat_or_community,support
Giuliano_Bogliani_2018,A1,hydroperiod_alone_quantifies_biodiversity_change,no_support
Vacca_et_al_2025,A1,rice_paddies_provide_temporary_wetland_like_habitat,support
Vacca_et_al_2025,A1,water_timing_duration_or_continuity_affects_habitat_or_community,support
Vacca_et_al_2025,A1,hydroperiod_alone_quantifies_biodiversity_change,no_support
Lupi_Rocco_Rossaro_2013,A1,rice_paddies_provide_temporary_wetland_like_habitat,support
Lupi_Rocco_Rossaro_2013,A1,water_timing_duration_or_continuity_affects_habitat_or_community,support
Lupi_Rocco_Rossaro_2013,A1,hydroperiod_alone_quantifies_biodiversity_change,no_support
Italian_Aquatic_Insects_Review_2025,A2,rice_paddies_provide_temporary_wetland_like_habitat,support
Italian_Aquatic_Insects_Review_2025,A2,water_timing_duration_or_continuity_affects_habitat_or_community,support
Italian_Aquatic_Insects_Review_2025,A2,hydroperiod_alone_quantifies_biodiversity_change,no_support
Fasola_Ruiz_1996,A2,rice_paddies_provide_temporary_wetland_like_habitat,support
Fasola_Ruiz_1996,A2,water_timing_duration_or_continuity_affects_habitat_or_community,support
Fasola_Ruiz_1996,A2,hydroperiod_alone_quantifies_biodiversity_change,no_support
Lawler_2001,B,rice_paddies_provide_temporary_wetland_like_habitat,support
Lawler_2001,B,water_timing_duration_or_continuity_affects_habitat_or_community,support
Lawler_2001,B,hydroperiod_alone_quantifies_biodiversity_change,no_support
Katayama_2015,B,rice_paddies_provide_temporary_wetland_like_habitat,support
Katayama_2015,B,water_timing_duration_or_continuity_affects_habitat_or_community,support
Katayama_2015,B,hydroperiod_alone_quantifies_biodiversity_change,no_support
Aquatic_Biodiversity_2025,C,rice_paddies_provide_temporary_wetland_like_habitat,support
Aquatic_Biodiversity_2025,C,water_timing_duration_or_continuity_affects_habitat_or_community,support
Aquatic_Biodiversity_2025,C,hydroperiod_alone_quantifies_biodiversity_change,no_support
